timestamp	name	stargazers	forks	open_issues
2021-10-01T08:24:35.760064	keras	52724	18818	327
2021-10-01T08:24:35.760073	transformers	51977	12338	433
2021-10-01T08:24:35.760082	pytorch	51172	13984	10082
2021-10-01T08:24:35.760090	caffe	31969	18875	1173
2021-10-01T08:24:35.760097	incubator-mxnet	19678	6878	1936
2021-10-01T08:24:35.760105	Paddle	16566	4040	2806
2021-10-01T08:24:35.760116	sonnet	9005	1289	22
2021-10-01T08:24:35.760123	albumentations	8839	1128	224
2021-10-01T08:24:35.760131	tvm	7196	2190	328
2021-10-01T08:24:35.760139	trax	6490	650	83
2021-10-01T08:24:35.760146	SerpentAI	6042	707	1
2021-10-01T08:24:35.760153	chainer	5612	1374	11
2021-10-01T08:24:35.760161	mlpack	3821	1378	92
2021-10-01T08:24:35.760169	tensorforce	3022	513	9
2021-10-01T08:24:35.760176	catalyst	2724	341	7
2021-10-01T08:24:35.760183	singa	2366	706	37
2021-10-01T08:24:35.760191	flax	2143	262	166
2021-10-01T08:24:35.760199	coach	2039	411	87
2021-10-01T08:24:35.760209	karateclub	1412	165	0
2021-10-01T08:24:35.760217	garage	1299	236	216
2021-10-01T08:24:35.760224	lightly	1215	73	54
2021-10-01T08:24:35.760231	detecto	505	84	26
2021-10-01T08:24:35.760238	Neuraxle	451	50	147
2021-10-01T08:24:35.760246	quickvision	46	3	19
2021-10-02T08:23:36.975255	tensorflow	159469	85585	3132
2021-10-02T08:23:36.975292	keras	52734	18818	327
2021-10-02T08:23:36.975300	transformers	52008	12346	429
2021-10-02T08:23:36.975307	pytorch	51184	13993	10063
2021-10-02T08:23:36.975326	caffe	31969	18876	1173
2021-10-02T08:23:36.975333	incubator-mxnet	19678	6878	1940
2021-10-02T08:23:36.975339	Paddle	16581	4043	2818
2021-10-02T08:23:36.975348	sonnet	9007	1290	22
2021-10-02T08:23:36.975355	albumentations	8845	1128	226
2021-10-02T08:23:36.975361	tvm	7199	2191	324
2021-10-02T08:23:36.975368	trax	6491	650	83
2021-10-02T08:23:36.975375	SerpentAI	6042	708	1
2021-10-02T08:23:36.975381	chainer	5612	1374	11
2021-10-02T08:23:36.975387	mlpack	3822	1379	92
2021-10-02T08:23:36.975393	tensorforce	3023	513	9
2021-10-02T08:23:36.975399	catalyst	2725	341	7
2021-10-02T08:23:36.975405	singa	2366	706	37
2021-10-02T08:23:36.975411	flax	2145	262	166
2021-10-02T08:23:36.975417	coach	2040	411	87
2021-10-02T08:23:36.975426	karateclub	1412	165	0
2021-10-02T08:23:36.975433	garage	1300	237	216
2021-10-02T08:23:36.975439	lightly	1215	73	52
2021-10-02T08:23:36.975445	detecto	505	84	26
2021-10-02T08:23:36.975451	Neuraxle	451	50	147
2021-10-02T08:23:36.975457	quickvision	46	3	19
2021-10-03T08:23:19.987667	tensorflow	159496	85597	3133
2021-10-03T08:23:19.987701	keras	52745	18819	327
2021-10-03T08:23:19.987709	transformers	52028	12348	434
2021-10-03T08:23:19.987715	pytorch	51200	13991	10072
2021-10-03T08:23:19.987721	caffe	31971	18878	1173
2021-10-03T08:23:19.987727	incubator-mxnet	19678	6877	1940
2021-10-03T08:23:19.987733	Paddle	16589	4044	2818
2021-10-03T08:23:19.987741	sonnet	9011	1290	22
2021-10-03T08:23:19.987747	albumentations	8848	1129	227
2021-10-03T08:23:19.987752	tvm	7199	2191	318
2021-10-03T08:23:19.987758	trax	6496	650	83
2021-10-03T08:23:19.987764	SerpentAI	6043	709	1
2021-10-03T08:23:19.987770	chainer	5611	1374	11
2021-10-03T08:23:19.987776	mlpack	3821	1379	93
2021-10-03T08:23:19.987781	tensorforce	3023	513	9
2021-10-03T08:23:19.987787	catalyst	2725	341	7
2021-10-03T08:23:19.987792	singa	2366	706	37
2021-10-03T08:23:19.987798	flax	2151	263	167
2021-10-03T08:23:19.987803	coach	2042	411	87
2021-10-03T08:23:19.987812	karateclub	1411	165	0
2021-10-03T08:23:19.987818	garage	1300	237	216
2021-10-03T08:23:19.987823	lightly	1219	74	51
2021-10-03T08:23:19.987829	detecto	505	84	26
2021-10-03T08:23:19.987835	Neuraxle	450	50	147
2021-10-03T08:23:19.987840	quickvision	46	3	19
2021-10-04T08:25:01.544550	tensorflow	159521	85606	3129
2021-10-04T08:25:01.544584	keras	52752	18821	329
2021-10-04T08:25:01.544592	transformers	52048	12354	436
2021-10-04T08:25:01.544599	pytorch	51215	13991	10065
2021-10-04T08:25:01.544605	caffe	31974	18882	1173
2021-10-04T08:25:01.544611	incubator-mxnet	19679	6877	1941
2021-10-04T08:25:01.544617	Paddle	16594	4044	2820
2021-10-04T08:25:01.544627	sonnet	9012	1290	22
2021-10-04T08:25:01.544633	albumentations	8851	1128	225
2021-10-04T08:25:01.544639	tvm	7200	2193	321
2021-10-04T08:25:01.544646	trax	6497	651	83
2021-10-04T08:25:01.544652	SerpentAI	6044	709	1
2021-10-04T08:25:01.544669	chainer	5611	1375	11
